Date,Revenue,Profit,Expenses,Employees,Stock_Price,Market_Cap
2024-01-31,62000000000,20500000000,41500000000,221000,415.50,3090000000000
2024-02-29,61800000000,20200000000,41600000000,221500,410.20,3050000000000
2024-03-31,64200000000,21800000000,42400000000,222000,425.80,3170000000000
2024-04-30,63500000000,21200000000,42300000000,222500,420.15,3125000000000
2024-05-31,65100000000,22400000000,42700000000,223000,435.90,3245000000000
2024-06-30,64800000000,22100000000,42700000000,223500,428.75,3190000000000
2024-07-31,66200000000,23000000000,43200000000,224000,440.25,3280000000000
2024-08-31,65900000000,22800000000,43100000000,224500,438.60,3270000000000
2024-09-30,67500000000,23500000000,44000000000,225000,445.30,3320000000000
2024-10-31,66800000000,23200000000,43600000000,225500,442.80,3300000000000
2024-11-30,68100000000,24000000000,44100000000,226000,448.90,3350000000000
2024-12-31,69200000000,24800000000,44400000000,226500,455.20,3400000000000 
